 maxIter=30:
=================
>> clear
>> stackedAEExercise
 Iteration   FunEvals     Step Length    Function Val        Opt Cond
        90         95     1.00000e+00     1.43043e+01     5.36144e+01
        91         96     1.00000e+00     1.42854e+01     4.89656e+01
        92         97     1.00000e+00     1.42637e+01     6.26949e+01
        93         98     1.00000e+00     1.42352e+01     6.84468e+01
        94         99     1.00000e+00     1.41896e+01     7.55241e+01
        95        100     1.00000e+00     1.41216e+01     6.41326e+01
        96        101     1.00000e+00     1.40909e+01     8.00689e+01
        97        102     1.00000e+00     1.40673e+01     4.96715e+01
        98        103     1.00000e+00     1.40578e+01     4.10952e+01
        99        104     1.00000e+00     1.40432e+01     4.46316e+01
       100        105     1.00000e+00     1.40088e+01     7.23194e+01
Exceeded Maximum Number of Iterations
 Iteration   FunEvals     Step Length    Function Val        Opt Cond
         1          5     1.37312e-01     1.25267e+02     4.47620e+03
         2          6     1.00000e+00     2.57010e+01     1.33197e+03
         3          7     1.00000e+00     1.43372e+01     6.13208e+02
         4          8     1.00000e+00     9.89726e+00     2.18685e+02
         5          9     1.00000e+00     7.47563e+00     1.92662e+02
         6         10     1.00000e+00     5.71187e+00     5.08690e+01
         7         11     1.00000e+00     5.29887e+00     4.13890e+01
         8         13     3.61334e-01     5.18578e+00     3.51168e+01
         9         14     1.00000e+00     5.11535e+00     1.96970e+01
        10         15     1.00000e+00     5.08209e+00     1.64342e+01
        11         16     1.00000e+00     5.03845e+00     2.22340e+01
        12         17     1.00000e+00     4.94806e+00     3.32075e+01
